,team,total,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,Home,index_opp,team_opp,total_opp,Pace_opp,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp,ORtg_opp,Home_opp,season,date,won
0,POR,110,93.8,0.639,18.1,12.9,0.25,117.3,0,1,MIA,107,93.8,0.56,9.9,13.2,0.155,114.1,1,2023,2022-11-07,True
1,MIA,107,93.8,0.56,9.9,13.2,0.155,114.1,1,0,POR,110,93.8,0.639,18.1,12.9,0.25,117.3,0,2023,2022-11-07,False
2,CLE,105,87.6,0.577,6.5,15.6,0.192,119.8,0,1,DAL,90,87.6,0.48,12.3,13.6,0.257,102.7,1,2023,2022-12-14,True
3,DAL,90,87.6,0.48,12.3,13.6,0.257,102.7,1,0,CLE,105,87.6,0.577,6.5,15.6,0.192,119.8,0,2023,2022-12-14,False
4,LAL,113,105.5,0.466,12.8,21.3,0.368,107.1,0,1,TOR,126,105.5,0.5,8.6,32.1,0.189,119.4,1,2023,2022-12-07,False
5,TOR,126,105.5,0.5,8.6,32.1,0.189,119.4,1,0,LAL,113,105.5,0.466,12.8,21.3,0.368,107.1,0,2023,2022-12-07,True
6,BOS,118,95.4,0.608,12.3,18.9,0.205,123.7,0,1,BRK,110,95.4,0.589,11.7,17.9,0.215,115.3,1,2024,2024-02-13,True
7,BRK,110,95.4,0.589,11.7,17.9,0.215,115.3,1,0,BOS,118,95.4,0.608,12.3,18.9,0.205,123.7,0,2024,2024-02-13,False
8,MIA,117,99.7,0.56,13.6,17.5,0.274,117.3,0,1,ATL,109,99.7,0.54,18.1,31.9,0.172,109.3,1,2024,2023-11-11,True
9,ATL,109,99.7,0.54,18.1,31.9,0.172,109.3,1,0,MIA,117,99.7,0.56,13.6,17.5,0.274,117.3,0,2024,2023-11-11,False
10,MIN,118,98.5,0.62,15.8,17.6,0.253,119.8,0,1,UTA,108,98.5,0.506,9.9,24.0,0.189,109.7,1,2023,2022-12-09,True
11,UTA,108,98.5,0.506,9.9,24.0,0.189,109.7,1,0,MIN,118,98.5,0.62,15.8,17.6,0.253,119.8,0,2023,2022-12-09,False
12,GSW,100,90.9,0.545,15.7,25.6,0.208,110.0,0,1,POR,92,90.9,0.402,10.3,35.7,0.144,101.2,1,2024,2024-04-11,True
13,POR,92,90.9,0.402,10.3,35.7,0.144,101.2,1,0,GSW,100,90.9,0.545,15.7,25.6,0.208,110.0,0,2024,2024-04-11,False
14,IND,125,93.9,0.548,8.7,37.8,0.234,133.2,0,1,BRK,116,93.9,0.585,8.8,14.3,0.244,123.6,1,2023,2022-10-29,True
15,BRK,116,93.9,0.585,8.8,14.3,0.244,123.6,1,0,IND,125,93.9,0.548,8.7,37.8,0.234,133.2,0,2023,2022-10-29,False
16,IND,125,96.7,0.566,6.2,25.0,0.143,129.3,0,1,CLE,113,96.7,0.495,5.2,32.7,0.152,116.8,1,2024,2023-10-28,True
17,CLE,113,96.7,0.495,5.2,32.7,0.152,116.8,1,0,IND,125,96.7,0.566,6.2,25.0,0.143,129.3,0,2024,2023-10-28,False
18,OKC,103,100.4,0.451,8.4,27.6,0.108,102.5,0,1,DET,112,100.4,0.468,11.5,34.8,0.269,111.5,1,2023,2022-11-07,False
19,DET,112,100.4,0.468,11.5,34.8,0.269,111.5,1,0,OKC,103,100.4,0.451,8.4,27.6,0.108,102.5,0,2023,2022-11-07,True
20,NYK,128,97.4,0.584,9.9,25.0,0.27,131.4,0,1,PHI,92,97.4,0.444,13.1,17.0,0.247,94.5,1,2024,2024-01-05,True
21,PHI,92,97.4,0.444,13.1,17.0,0.247,94.5,1,0,NYK,128,97.4,0.584,9.9,25.0,0.27,131.4,0,2024,2024-01-05,False
22,NYK,86,97.1,0.385,11.4,27.5,0.176,88.5,0,1,MIA,105,97.1,0.428,11.1,27.7,0.311,108.1,1,2023,2023-05-06,False
23,MIA,105,97.1,0.428,11.1,27.7,0.311,108.1,1,0,NYK,86,97.1,0.385,11.4,27.5,0.176,88.5,0,2023,2023-05-06,True
24,DAL,116,96.2,0.618,14.9,12.5,0.375,120.6,0,1,DEN,115,96.2,0.596,15.8,20.5,0.282,119.5,1,2023,2022-12-06,True
25,DEN,115,96.2,0.596,15.8,20.5,0.282,119.5,1,0,DAL,116,96.2,0.618,14.9,12.5,0.375,120.6,0,2023,2022-12-06,False
26,UTA,118,99.7,0.538,11.4,25.0,0.22,118.3,0,1,POR,113,99.7,0.548,15.2,24.4,0.265,113.3,1,2023,2022-11-19,True
27,POR,113,99.7,0.548,15.2,24.4,0.265,113.3,1,0,UTA,118,99.7,0.538,11.4,25.0,0.22,118.3,0,2023,2022-11-19,False
28,OKC,102,103.2,0.446,15.0,25.9,0.217,98.9,0,1,MEM,123,103.2,0.585,12.2,22.7,0.138,119.2,1,2023,2022-12-07,False
29,MEM,123,103.2,0.585,12.2,22.7,0.138,119.2,1,0,OKC,102,103.2,0.446,15.0,25.9,0.217,98.9,0,2023,2022-12-07,True
30,SAS,95,99.7,0.41,14.2,38.6,0.13,95.2,0,1,GSW,132,99.7,0.665,11.2,13.9,0.17,132.3,1,2023,2022-11-14,False
31,GSW,132,99.7,0.665,11.2,13.9,0.17,132.3,1,0,SAS,95,99.7,0.41,14.2,38.6,0.13,95.2,0,2023,2022-11-14,True
32,POR,92,95.2,0.454,14.6,23.8,0.149,96.6,0,1,HOU,110,95.2,0.462,7.1,27.7,0.258,115.5,1,2024,2024-03-25,False
33,HOU,110,95.2,0.462,7.1,27.7,0.258,115.5,1,0,POR,92,95.2,0.454,14.6,23.8,0.149,96.6,0,2024,2024-03-25,True
34,PHI,105,88.6,0.601,11.4,16.2,0.127,118.5,0,1,MIL,114,88.6,0.653,14.5,20.0,0.278,128.7,1,2024,2024-03-14,False
35,MIL,114,88.6,0.653,14.5,20.0,0.278,128.7,1,0,PHI,105,88.6,0.601,11.4,16.2,0.127,118.5,0,2024,2024-03-14,True
36,LAC,125,97.1,0.662,16.1,21.2,0.299,128.7,0,1,POR,117,97.1,0.548,8.8,31.3,0.161,120.5,1,2024,2024-03-22,True
37,POR,117,97.1,0.548,8.8,31.3,0.161,120.5,1,0,LAC,125,97.1,0.662,16.1,21.2,0.299,128.7,0,2024,2024-03-22,False
38,MIN,104,100.5,0.517,13.9,20.0,0.122,103.5,0,1,GSW,109,100.5,0.511,13.7,32.7,0.176,108.5,1,2023,2023-02-26,False
39,GSW,109,100.5,0.511,13.7,32.7,0.176,108.5,1,0,MIN,104,100.5,0.517,13.9,20.0,0.122,103.5,0,2023,2023-02-26,True
40,PHI,114,98.8,0.582,15.8,20.5,0.278,115.4,0,1,CHI,109,98.8,0.519,16.3,21.4,0.325,110.4,1,2023,2022-10-29,True
41,CHI,109,98.8,0.519,16.3,21.4,0.325,110.4,1,0,PHI,114,98.8,0.582,15.8,20.5,0.278,115.4,0,2023,2022-10-29,False
42,BOS,130,97.6,0.632,12.5,28.6,0.23,133.2,0,1,WAS,104,97.6,0.517,14.4,24.4,0.135,106.5,1,2024,2024-03-17,True
43,WAS,104,97.6,0.517,14.4,24.4,0.135,106.5,1,0,BOS,130,97.6,0.632,12.5,28.6,0.23,133.2,0,2024,2024-03-17,False
