,team,total,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,Home,index_opp,team_opp,total_opp,Pace_opp,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp,ORtg_opp,Home_opp,season,date,won
0,ATL,98,94.5,0.519,13.6,16.2,0.173,103.7,0,1,DAL,95,94.5,0.395,7.7,32.8,0.16,100.5,1,2016,2015-12-09,True
1,DAL,95,94.5,0.395,7.7,32.8,0.16,100.5,1,0,ATL,98,94.5,0.519,13.6,16.2,0.173,103.7,0,2016,2015-12-09,False
2,MIN,99,94.5,0.482,12.0,22.4,0.2,104.8,0,1,SAS,107,94.5,0.506,10.2,27.9,0.191,113.3,1,2018,2017-10-18,False
3,SAS,107,94.5,0.506,10.2,27.9,0.191,113.3,1,0,MIN,99,94.5,0.482,12.0,22.4,0.2,104.8,0,2018,2017-10-18,True
4,ORL,75,97.8,0.349,17.4,22.2,0.174,76.7,0,1,MEM,92,97.8,0.399,7.0,25.4,0.131,94.0,1,2021,2021-04-30,False
5,MEM,92,97.8,0.399,7.0,25.4,0.131,94.0,1,0,ORL,75,97.8,0.349,17.4,22.2,0.174,76.7,0,2021,2021-04-30,True
6,LAC,91,92.3,0.476,15.0,21.7,0.145,98.6,0,1,MIN,107,92.3,0.517,11.2,35.0,0.209,116.0,1,2017,2017-03-08,False
7,MIN,107,92.3,0.517,11.2,35.0,0.209,116.0,1,0,LAC,91,92.3,0.476,15.0,21.7,0.145,98.6,0,2017,2017-03-08,True
8,SAC,125,92.9,0.563,6.5,27.9,0.31,134.5,0,1,DAL,121,92.9,0.604,10.8,21.9,0.364,130.2,1,2019,2019-03-26,True
9,DAL,121,92.9,0.604,10.8,21.9,0.364,130.2,1,0,SAC,125,92.9,0.563,6.5,27.9,0.31,134.5,0,2019,2019-03-26,False
10,CLE,95,93.1,0.469,14.8,27.9,0.235,102.1,0,1,CHO,90,93.1,0.444,10.8,15.6,0.238,96.7,1,2016,2015-11-27,True
11,CHO,90,93.1,0.444,10.8,15.6,0.238,96.7,1,0,CLE,95,93.1,0.469,14.8,27.9,0.235,102.1,0,2016,2015-11-27,False
12,BRK,125,100.7,0.584,14.3,37.2,0.147,124.1,0,1,MIN,136,100.7,0.598,7.9,23.8,0.283,135.0,1,2022,2022-01-23,False
13,MIN,136,100.7,0.598,7.9,23.8,0.283,135.0,1,0,BRK,125,100.7,0.584,14.3,37.2,0.147,124.1,0,2022,2022-01-23,True
